city_name;UF;ibge_cod;GADM_GID_2;pop_2020;MHDI_tot;MHDI_long;MHDI_edu;MHDI_inc;SVI_tot;SVI_inf;SVI_hum;SVI_wrk;MHDI_quantiles;;MHDI quartiles;;SVI quartiles;
Tobias Barreto/SE;SE;2807402;BRA.26.73_1; 52.530 ;0,557;0,609;0,702;0,404;0,471;0,218;0,653;0,543; 0,080 ;;;;;
Arauá/SE;SE;2800407;BRA.26.4_1; 9.947 ;0,595;0,55;0,783;0,49;0,471;0,31;0,595;0,509; 0,230 ;;;;;
Japaratuba/SE;SE;2803302;BRA.26.31_1; 18.907 ;0,621;0,581;0,757;0,544;0,471;0,359;0,49;0,565; 0,335 ;;;;;
Antônio Cardoso/BA;BA;2901700;BRA.5.19_1; 11.677 ;0,561;0,544;0,768;0,422;0,471;0,307;0,489;0,616; 0,092 ;;;;;
Itamari/BA;BA;2915700;BRA.5.188_1; 8.003 ;0,578;0,595;0,713;0,454;0,471;0,288;0,593;0,531; 0,156 ;;;;;
Fortim/CE;CE;2304459;BRA.6.60_1; 16.631 ;0,624;0,562;0,734;0,588;0,47;0,405;0,491;0,514; 0,347 ;;;;;
Pedro Avelino/RN;RN;2409704;BRA.20.104_1; 6.653 ;0,583;0,577;0,788;0,435;0,47;0,314;0,543;0,552; 0,175 ;;;;;
Santana do Matos/RN;RN;2411403;BRA.20.124_1; 11.956 ;0,591;0,559;0,767;0,482;0,47;0,291;0,526;0,592; 0,210 ;;;;;
Sobrado/PB;PB;2515971;BRA.15.205_1; 7.815 ;0,573;0,525;0,753;0,477;0,47;0,307;0,563;0,54; 0,137 ;;;;;
Solânea/PB;PB;2516003;BRA.15.206_1; 26.227 ;0,595;0,592;0,762;0,468;0,47;0,276;0,558;0,575; 0,230 ;;;;;
Orobó/PE;PE;2609709;BRA.17.110_1; 23.935 ;0,61;0,545;0,787;0,528;0,47;0,346;0,496;0,568; 0,294 ;;;;;
Jaborandi/BA;BA;2917359;BRA.5.207_1; 8.277 ;0,613;0,572;0,791;0,508;0,47;0,158;0,543;0,71; 0,305 ;;;;;
Euclides da Cunha/BA;BA;2910701;BRA.5.128_1; 60.858 ;0,567;0,565;0,749;0,43;0,47;0,237;0,521;0,652; 0,115 ;;;;;
Cristália/MG;MG;3120300;BRA.13.226_1; 5.982 ;0,583;0,518;0,795;0,482;0,47;0,266;0,571;0,573; 0,175 ;;;;;
Monte Alegre de Goiás/GO;GO;5213509;BRA.9.143_1; 8.684 ;0,615;0,592;0,816;0,481;0,47;0,289;0,582;0,538; 0,313 ;;;;;
Capixaba/AC;AC;1200179;BRA.1.5_1; 12.008 ;0,575;0,601;0,794;0,398;0,469;0,302;0,612;0,493; 0,144 ;;;;;
Pau D'Arco/TO;TO;1716307;BRA.27.93_1; 4.867 ;0,661;0,621;0,792;0,587;0,469;0,48;0,442;0,486; 0,479 ;;;;;
Campo Grande do Piauí/PI;PI;2202133;BRA.18.44_1; 5.965 ;0,56;0,545;0,721;0,446;0,469;0,283;0,568;0,556; 0,089 ;;;;;
Banabuiú/CE;CE;2301851;BRA.6.22_1; 18.256 ;0,606;0,54;0,779;0,53;0,469;0,315;0,573;0,519; 0,276 ;;;;;
Wanderley/BA;BA;2933455;#N/A; 12.180 ;0,6;0,569;0,764;0,498;0,469;0,24;0,591;0,577; 0,251 ;;;;;
Vila Flor/RN;RN;2415008;BRA.20.168_1; 3.194 ;0,576;0,561;0,722;0,471;0,469;0,272;0,522;0,613; 0,148 ;;;;;
Brejo da Madre de Deus/PE;PE;2602605;BRA.17.28_1; 51.225 ;0,562;0,581;0,734;0,417;0,469;0,285;0,646;0,477; 0,096 ;;;;;
Flores/PE;PE;2605608;BRA.17.62_1; 22.618 ;0,556;0,544;0,745;0,423;0,469;0,329;0,528;0,55; 0,078 ;;;;;
Rio Formoso/PE;PE;2611903;BRA.17.132_1; 23.628 ;0,613;0,562;0,809;0,506;0,469;0,318;0,569;0,519; 0,305 ;;;;;
Sanharó/PE;PE;2612406;BRA.17.138_1; 26.890 ;0,603;0,564;0,758;0,514;0,469;0,204;0,625;0,577; 0,263 ;;;;;
Vertentes/PE;PE;2616209;BRA.17.179_1; 20.954 ;0,582;0,602;0,728;0,45;0,469;0,345;0,529;0,534; 0,171 ;;;;;
Gararu/SE;SE;2802403;BRA.26.22_1; 11.601 ;0,564;0,544;0,783;0,422;0,469;0,335;0,589;0,482; 0,104 ;;;;;
Buritirama/BA;BA;2904753;BRA.5.58_1; 21.276 ;0,565;0,504;0,761;0,471;0,469;0,224;0,526;0,657; 0,108 ;;;;;
Uruçuca/BA;BA;2932705;BRA.5.403_1; 20.413 ;0,616;0,607;0,758;0,507;0,469;0,265;0,567;0,574; 0,318 ;;;;;
Itamaraju/BA;BA;2915601;BRA.5.187_1; 64.455 ;0,627;0,641;0,767;0,502;0,469;0,335;0,583;0,49; 0,360 ;;;;;
Virgem da Lapa/MG;MG;3171600;BRA.13.848_1; 13.740 ;0,61;0,585;0,797;0,488;0,469;0,264;0,502;0,64; 0,294 ;;;;;
São Geraldo do Araguaia/PA;PA;1507458;BRA.14.122_1; 24.705 ;0,595;0,594;0,793;0,447;0,468;0,348;0,529;0,527; 0,230 ;;;;;
Lago dos Rodrigues/MA;MA;2105948;BRA.10.101_1; 8.857 ;0,602;0,555;0,737;0,534;0,468;0,367;0,545;0,493; 0,259 ;;;;;
Meruoca/CE;CE;2308203;BRA.6.109_1; 15.185 ;0,618;0,559;0,761;0,554;0,468;0,41;0,495;0,499; 0,325 ;;;;;
Santana do Cariri/CE;CE;2312106;BRA.6.159_1; 17.712 ;0,612;0,527;0,779;0,557;0,468;0,309;0,521;0,573; 0,302 ;;;;;
Guaiúba/CE;CE;2304954;BRA.6.67_1; 26.290 ;0,617;0,546;0,768;0,56;0,468;0,385;0,55;0,469; 0,322 ;;;;;
Mataraca/PB;PB;2509305;BRA.15.116_1; 8.539 ;0,536;0,533;0,675;0,427;0,468;0,173;0,681;0,549; 0,036 ;;;;;
Lucena/PB;PB;2508604;BRA.15.107_1; 13.214 ;0,583;0,577;0,734;0,469;0,468;0,216;0,66;0,528; 0,175 ;;;;;
Taperoá/PB;PB;2516508;BRA.15.212_1; 15.441 ;0,578;0,564;0,749;0,456;0,468;0,259;0,561;0,584; 0,156 ;;;;;
Igreja Nova/AL;AL;2703205;BRA.2.35_1; 24.586 ;0,568;0,556;0,771;0,428;0,468;0,31;0,584;0,511; 0,119 ;;;;;
Canápolis/BA;BA;2906105;BRA.5.74_1; 9.703 ;0,565;0,531;0,732;0,463;0,468;0,239;0,589;0,577; 0,108 ;;;;;
São Sebastião do Passé/BA;BA;2929503;BRA.5.363_1; 44.430 ;0,657;0,633;0,812;0,551;0,468;0,432;0,459;0,514; 0,463 ;;;;;
Ponto Novo/BA;BA;2925253;BRA.5.310_1; 14.819 ;0,58;0,539;0,762;0,475;0,468;0,169;0,597;0,638; 0,163 ;;;;;
Itinga do Maranhão/MA;MA;2105427;BRA.10.93_1; 26.068 ;0,63;0,601;0,764;0,545;0,467;0,412;0,512;0,478; 0,371 ;;;;;
Umari/CE;CE;2313708;BRA.6.178_1; 7.736 ;0,591;0,535;0,778;0,497;0,467;0,333;0,522;0,546; 0,210 ;;;;;
Serra do Mel/RN;RN;2413359;BRA.20.146_1; 12.083 ;0,614;0,574;0,773;0,521;0,467;0,396;0,475;0,529; 0,308 ;;;;;
Algodão de Jandaíra/PB;PB;2500577;BRA.15.7_1; 2.577 ;0,548;0,532;0,749;0,413;0,467;0,288;0,616;0,497; 0,057 ;;;;;
Igarassu/PE;PE;2606804;BRA.17.74_1; 118.370 ;0,665;0,622;0,781;0,606;0,467;0,509;0,391;0,501; 0,496 ;;;;;
Paripueira/AL;AL;2706448;BRA.2.69_1; 13.332 ;0,605;0,595;0,767;0,486;0,467;0,356;0,565;0,481; 0,271 ;;;;;
Santana do Ipanema/AL;AL;2708006;BRA.2.85_1; 47.819 ;0,591;0,579;0,77;0,463;0,467;0,214;0,619;0,567; 0,210 ;;;;;
Casa Nova/BA;BA;2907202;BRA.5.89_1; 72.545 ;0,57;0,577;0,736;0,435;0,467;0,245;0,594;0,563; 0,125 ;;;;;
Ruy Barbosa/BA;BA;2927200;BRA.5.334_1; 30.857 ;0,61;0,583;0,77;0,505;0,467;0,269;0,517;0,616; 0,294 ;;;;;
Jacinto/MG;MG;3134707;BRA.13.395_1; 12.323 ;0,62;0,595;0,807;0,496;0,467;0,344;0,521;0,537; 0,331 ;;;;;
Manga/MG;MG;3139300;BRA.13.456_1; 18.226 ;0,642;0,624;0,799;0,53;0,467;0,313;0,51;0,578; 0,411 ;;;;;
Teresina de Goiás/GO;GO;5221080;BRA.9.226_1; 3.498 ;0,661;0,626;0,817;0,564;0,467;0,345;0,578;0,477; 0,479 ;;;;;
Itaguatins/TO;TO;1710706;BRA.27.60_1; 5.832 ;0,616;0,572;0,799;0,511;0,466;0,362;0,594;0,442; 0,318 ;;;;;
Santa Luz/PI;PI;2209302;BRA.18.175_1; 5.882 ;0,588;0,539;0,768;0,49;0,466;0,362;0,494;0,543; 0,197 ;;;;;
Patos do Piauí/PI;PI;2207777;BRA.18.152_1; 6.406 ;0,563;0,529;0,755;0,448;0,466;0,179;0,579;0,639; 0,101 ;;;;;
Independência/CE;CE;2305605;BRA.6.78_1; 26.187 ;0,632;0,561;0,759;0,592;0,466;0,274;0,504;0,621; 0,376 ;;;;;
Logradouro/PB;PB;2508554;BRA.15.106_1; 4.369 ;0,583;0,544;0,776;0,47;0,466;0,282;0,635;0,48; 0,175 ;;;;;
Saloá/PE;PE;2612307;BRA.17.137_1; 15.862 ;0,559;0,559;0,744;0,421;0,466;0,241;0,604;0,553; 0,087 ;;;;;
Japoatã/SE;SE;2803401;BRA.26.32_1; 13.429 ;0,56;0,551;0,7;0,455;0,466;0,298;0,634;0,465; 0,089 ;;;;;
Boquira/BA;BA;2904100;BRA.5.51_1; 21.497 ;0,603;0,564;0,782;0,497;0,466;0,311;0,477;0,61; 0,263 ;;;;;
Aratuípe/BA;BA;2902302;BRA.5.28_1; 8.837 ;0,575;0,57;0,753;0,443;0,466;0,254;0,543;0,602; 0,144 ;;;;;
Ribeirão do Largo/BA;BA;2926657;BRA.5.328_1; 5.343 ;0,54;0,566;0,759;0,366;0,466;0,342;0,585;0,471; 0,042 ;;;;;
Mairi/BA;BA;2920106;BRA.5.243_1; 18.602 ;0,572;0,575;0,744;0,438;0,466;0,298;0,545;0,556; 0,132 ;;;;;
Glaucilândia/MG;MG;3127354;BRA.13.312_1; 3.164 ;0,679;0,579;0,812;0,667;0,466;0,523;0,354;0,522; 0,554 ;;;;;
Ibiracatu/MG;MG;3129657;BRA.13.339_1; 5.369 ;0,591;0,537;0,786;0,489;0,466;0,277;0,481;0,64; 0,210 ;;;;;
Marapanim/PA;PA;1504406;BRA.14.67_1; 28.450 ;0,609;0,57;0,76;0,521;0,465;0,437;0,464;0,495; 0,289 ;;;;;
Itaporã do Tocantins/TO;TO;1711100;BRA.27.62_1; 2.420 ;0,65;0,613;0,842;0,531;0,465;0,407;0,548;0,44; 0,436 ;;;;;
Darcinópolis/TO;TO;1706506;BRA.27.45_1; 6.174 ;0,581;0,597;0,764;0,429;0,465;0,301;0,649;0,444; 0,166 ;;;;;
Pio Ix/PI;PI;2208205;BRA.18.159_1; 18.459 ;0,564;0,538;0,758;0,44;0,465;0,26;0,542;0,593; 0,104 ;;;;;
Dirceu Arcoverde/PI;PI;2203354;BRA.18.72_1; 7.029 ;0,561;0,563;0,718;0,436;0,465;0,258;0,543;0,594; 0,092 ;;;;;
Antônio Martins/RN;RN;2400901;BRA.20.9_1; 7.154 ;0,578;0,554;0,76;0,458;0,465;0,305;0,576;0,513; 0,156 ;;;;;
Barcelona/RN;RN;2401503;BRA.20.16_1; 3.994 ;0,566;0,564;0,726;0,442;0,465;0,226;0,588;0,58; 0,112 ;;;;;
Chã Preta/AL;AL;2701902;BRA.2.20_1; 7.311 ;0,575;0,537;0,737;0,481;0,465;0,373;0,579;0,444; 0,144 ;;;;;
Canavieiras/BA;BA;2906303;BRA.5.76_1; 30.906 ;0,59;0,596;0,796;0,434;0,465;0,277;0,568;0,551; 0,206 ;;;;;
Itagibá/BA;BA;2915205;BRA.5.181_1; 14.452 ;0,589;0,566;0,77;0,469;0,465;0,185;0,555;0,654; 0,201 ;;;;;
Cícero Dantas/BA;BA;2907806;BRA.5.96_1; 32.576 ;0,585;0,59;0,712;0,477;0,465;0,324;0,585;0,485; 0,184 ;;;;;
Riacho dos Machados/MG;MG;3154507;BRA.13.639_1; 9.476 ;0,627;0,557;0,808;0,547;0,465;0,314;0,503;0,578; 0,360 ;;;;;
Abaetetuba/PA;PA;1500107;BRA.14.1_1; 159.080 ;0,628;0,579;0,798;0,537;0,464;0,461;0,452;0,479; 0,365 ;;;;;
Soure/PA;PA;1507904;BRA.14.130_1; 25.565 ;0,615;0,583;0,76;0,525;0,464;0,328;0,51;0,555; 0,313 ;;;;;
Loreto/MA;MA;2106102;BRA.10.107_1; 12.214 ;0,582;0,516;0,771;0,495;0,464;0,364;0,541;0,488; 0,171 ;;;;;
São João da Serra/PI;PI;2209906;BRA.18.189_1; 6.122 ;0,582;0,545;0,757;0,478;0,464;0,29;0,512;0,589; 0,171 ;;;;;
Potiretama/CE;CE;2311231;BRA.6.146_1; 6.437 ;0,604;0,544;0,754;0,538;0,464;0,38;0,496;0,515; 0,266 ;;;;;
Cerro Corá/RN;RN;2402709;BRA.20.30_1; 11.181 ;0,607;0,573;0,754;0,518;0,464;0,373;0,488;0,532; 0,281 ;;;;;
Coronel Ezequiel/RN;RN;2402808;BRA.20.31_1; 5.504 ;0,587;0,545;0,778;0,476;0,464;0,302;0,528;0,563; 0,192 ;;;;;
Siriri/SE;SE;2807204;BRA.26.71_1; 8.970 ;0,609;0,565;0,74;0,541;0,464;0,344;0,543;0,505; 0,289 ;;;;;
Prado/BA;BA;2925501;BRA.5.313_1; 28.194 ;0,621;0,616;0,784;0,497;0,464;0,317;0,581;0,493; 0,335 ;;;;;
Ourolândia/BA;BA;2923357;BRA.5.287_1; 17.511 ;0,56;0,547;0,701;0,459;0,464;0,276;0,596;0,521; 0,089 ;;;;;
Lagoa Real/BA;BA;2918753;BRA.5.225_1; 15.770 ;0,545;0,535;0,764;0,395;0,464;0,249;0,504;0,64; 0,051 ;;;;;
Entre Rios/BA;BA;2910503;BRA.5.125_1; 41.901 ;0,615;0,602;0,785;0,492;0,464;0,309;0,522;0,56; 0,313 ;;;;;
Morro do Pilar/MG;MG;3143708;BRA.13.508_1; 3.153 ;0,597;0,622;0,809;0,422;0,464;0,445;0,499;0,448; 0,238 ;;;;;
Ferreira Gomes/AP;AP;1600238;BRA.3.4_1; 7.967 ;0,656;0,635;0,82;0,542;0,463;0,359;0,542;0,489; 0,459 ;;;;;
Caxias/MA;MA;2103000;BRA.10.52_1; 165.525 ;0,624;0,595;0,753;0,543;0,463;0,351;0,547;0,491; 0,347 ;;;;;
Ribeiro Gonçalves/PI;PI;2208908;BRA.18.170_1; 7.376 ;0,601;0,568;0,787;0,485;0,463;0,28;0,55;0,559; 0,255 ;;;;;
Caxingó/PI;PI;2202653;BRA.18.55_1; 5.451 ;0,488;0,498;0,708;0,329;0,463;0,156;0,663;0,571; 0,003 ;;;;;
Antonina do Norte/CE;CE;2300804;BRA.6.10_1; 7.378 ;0,599;0,55;0,772;0,506;0,463;0,233;0,59;0,565; 0,245 ;;;;;
Maturéia/PB;PB;2509396;BRA.15.119_1; 6.630 ;0,572;0,54;0,73;0,474;0,463;0,232;0,611;0,546; 0,132 ;;;;;
Ibiara/PB;PB;2506608;BRA.15.86_1; 5.903 ;0,586;0,548;0,768;0,479;0,463;0,176;0,651;0,562; 0,188 ;;;;;
Bernardino Batista/PB;PB;2502052;BRA.15.28_1; 3.536 ;0,558;0,526;0,716;0,462;0,463;0,335;0,546;0,507; 0,084 ;;;;;
Tenório/PB;PB;2516755;BRA.15.215_1; 3.081 ;0,581;0,565;0,707;0,49;0,463;0,361;0,568;0,461; 0,166 ;;;;;
Ferreiros/PE;PE;2605509;BRA.17.61_1; 12.170 ;0,622;0,589;0,787;0,519;0,463;0,266;0,514;0,61; 0,338 ;;;;;
Trindade/PE;PE;2615607;BRA.17.172_1; 30.816 ;0,595;0,602;0,768;0,455;0,463;0,305;0,585;0,5; 0,230 ;;;;;
Andorinha/BA;BA;2901353;BRA.5.15_1; 14.503 ;0,588;0,586;0,731;0,474;0,463;0,293;0,563;0,534; 0,197 ;;;;;
Medeiros Neto/BA;BA;2921104;BRA.5.255_1; 22.716 ;0,625;0,626;0,777;0,501;0,463;0,315;0,54;0,535; 0,352 ;;;;;
Brasiléia/AC;AC;1200104;BRA.1.3_1; 26.702 ;0,614;0,619;0,77;0,485;0,462;0,32;0,593;0,473; 0,308 ;;;;;
Paquetá/PI;PI;2207553;BRA.18.148_1; 3.937 ;0,509;0,519;0,731;0,348;0,462;0,194;0,613;0,579; 0,010 ;;;;;
Monsenhor Gil/PI;PI;2206407;BRA.18.129_1; 10.564 ;0,615;0,568;0,781;0,524;0,462;0,339;0,511;0,535; 0,313 ;;;;;
Mamanguape/PB;PB;2508901;BRA.15.110_1; 45.136 ;0,585;0,585;0,756;0,453;0,462;0,284;0,555;0,548; 0,184 ;;;;;
São Francisco/SE;SE;2806909;BRA.26.68_1; 3.781 ;0,587;0,564;0,732;0,49;0,462;0,388;0,535;0,464; 0,192 ;;;;;
Itinga/MG;MG;3134004;BRA.13.388_1; 15.022 ;0,6;0,559;0,797;0,484;0,462;0,277;0,471;0,639; 0,251 ;;;;;
Glória/BA;BA;2911402;BRA.5.140_1; 15.234 ;0,593;0,563;0,775;0,479;0,462;0,315;0,566;0,505; 0,221 ;;;;;
Berizal/MG;MG;3106655;BRA.13.69_1; 4.764 ;0,604;0,56;0,757;0,52;0,462;0,354;0,546;0,486; 0,266 ;;;;;
Rubelita/MG;MG;3156502;BRA.13.660_1; 5.798 ;0,582;0,552;0,808;0,443;0,462;0,291;0,56;0,536; 0,171 ;;;;;
Ipuaçu/SC;SC;4207684;BRA.24.119_1; 7.579 ;0,66;0,674;0,79;0,54;0,462;0,52;0,577;0,289; 0,474 ;;;;;
Bannach/PA;PA;1501253;BRA.14.17_1; 3.262 ;0,594;0,635;0,784;0,42;0,461;0,299;0,637;0,448; 0,225 ;;;;;
Tomé-Açu/PA;PA;1508001;BRA.14.134_1; 64.030 ;0,586;0,596;0,798;0,424;0,461;0,348;0,549;0,485; 0,188 ;;;;;
Miguel Leão/PI;PI;2206308;BRA.18.127_1; 1.242 ;0,623;0,579;0,782;0,533;0,461;0,507;0,432;0,443; 0,343 ;;;;;
Bonfim do Piauí/PI;PI;2201929;BRA.18.32_1; 5.685 ;0,542;0,542;0,707;0,415;0,461;0,352;0,562;0,47; 0,046 ;;;;;
Aiuaba/CE;CE;2300408;BRA.6.5_1; 17.493 ;0,569;0,518;0,749;0,474;0,461;0,218;0,57;0,595; 0,122 ;;;;;
Baraúna/RN;RN;2401453;BRA.20.15_1; 28.747 ;0,574;0,562;0,756;0,446;0,461;0,265;0,586;0,532; 0,140 ;;;;;
Imaculada/PB;PB;2506707;BRA.15.87_1; 11.848 ;0,557;0,524;0,715;0,461;0,461;0,266;0,61;0,508; 0,080 ;;;;;
Tacaimbó/PE;PE;2614709;BRA.17.162_1; 12.859 ;0,554;0,536;0,748;0,423;0,461;0,247;0,629;0,508; 0,073 ;;;;;
Pau Brasil/BA;BA;2923902;BRA.5.293_1; 9.686 ;0,583;0,58;0,727;0,47;0,461;0,231;0,595;0,558; 0,175 ;;;;;
Jussari/BA;BA;2918555;BRA.5.222_1; 5.768 ;0,567;0,577;0,699;0,451;0,461;0,209;0,582;0,591; 0,115 ;;;;;
Cândido Sales/BA;BA;2906709;BRA.5.80_1; 25.053 ;0,601;0,565;0,798;0,482;0,461;0,259;0,552;0,573; 0,255 ;;;;;
Curaçá/BA;BA;2909901;BRA.5.118_1; 34.886 ;0,581;0,544;0,778;0,463;0,461;0,242;0,562;0,58; 0,166 ;;;;;
Ortigueira/PR;PR;4117305;BRA.16.246_1; 21.960 ;0,609;0,632;0,811;0,441;0,461;0,326;0,547;0,511; 0,289 ;;;;;
Juarina/TO;TO;1711803;BRA.27.64_1; 2.184 ;0,584;0,563;0,742;0,478;0,46;0,473;0,5;0,407; 0,180 ;;;;;
Graça/CE;CE;2304657;BRA.6.63_1; 14.407 ;0,57;0,514;0,755;0,477;0,46;0,204;0,574;0,602; 0,125 ;;;;;
Lagoa de Pedras/RN;RN;2406304;BRA.20.70_1; 7.584 ;0,553;0,529;0,734;0,436;0,46;0,267;0,531;0,582; 0,071 ;;;;;
Juarez Távora/PB;PB;2507606;BRA.15.96_1; 7.976 ;0,579;0,544;0,768;0,465;0,46;0,228;0,595;0,557; 0,161 ;;;;;
Utinga/BA;BA;2932804;BRA.5.404_1; 19.256 ;0,59;0,597;0,706;0,487;0,46;0,353;0,538;0,488; 0,206 ;;;;;
Ubaíra/BA;BA;2932101;BRA.5.396_1; 19.877 ;0,582;0,581;0,759;0,447;0,46;0,276;0,51;0,594; 0,171 ;;;;;
Icaraí de Minas/MG;MG;3130051;BRA.13.344_1; 12.097 ;0,624;0,57;0,799;0,533;0,46;0,282;0,536;0,563; 0,347 ;;;;;
Santa Maria do Suaçuí/MG;MG;3158201;BRA.13.684_1; 14.611 ;0,64;0,629;0,817;0,511;0,46;0,333;0,554;0,492; 0,405 ;;;;;
Baliza/GO;GO;5203104;BRA.9.32_1; 5.280 ;0,655;0,614;0,819;0,558;0,46;0,484;0,436;0,459; 0,455 ;;;;;
Bujari/AC;AC;1200138;BRA.1.4_1; 10.420 ;0,589;0,603;0,772;0,439;0,459;0,35;0,603;0,425; 0,201 ;;;;;
Colniza/MT;MT;5103254;#N/A; 39.861 ;0,611;0,633;0,815;0,443;0,459;0,362;0,52;0,494; 0,299 ;;;;;
Aratuba/CE;CE;2301406;BRA.6.17_1; 11.802 ;0,622;0,53;0,775;0,587;0,459;0,359;0,488;0,531; 0,338 ;;;;;
Croatá/CE;CE;2304236;BRA.6.52_1; 18.133 ;0,59;0,497;0,76;0,544;0,459;0,198;0,593;0,585; 0,206 ;;;;;
Uruburetama/CE;CE;2313807;BRA.6.180_1; 22.040 ;0,639;0,564;0,76;0,608;0,459;0,253;0,557;0,568; 0,401 ;;;;;
Riachuelo/RN;RN;2410900;BRA.20.118_1; 8.220 ;0,592;0,561;0,767;0,481;0,459;0,157;0,574;0,645; 0,214 ;;;;;
Brejinho/PE;PE;2602506;BRA.17.27_1; 7.488 ;0,574;0,563;0,681;0,493;0,459;0,279;0,557;0,54; 0,140 ;;;;;
Junqueiro/AL;AL;2704005;BRA.2.43_1; 24.722 ;0,575;0,586;0,714;0,454;0,459;0,319;0,521;0,538; 0,144 ;;;;;
Olho D'Água das Flores/AL;AL;2705705;BRA.2.60_1; 21.738 ;0,565;0,568;0,752;0,422;0,459;0,14;0,649;0,588; 0,108 ;;;;;
Maragogi/AL;AL;2704500;BRA.2.49_1; 33.032 ;0,574;0,556;0,766;0,443;0,459;0,305;0,591;0,481; 0,140 ;;;;;
Coribe/BA;BA;2909109;BRA.5.110_1; 14.149 ;0,6;0,545;0,807;0,491;0,459;0,33;0,455;0,591; 0,251 ;;;;;
Xique-Xique/BA;BA;2933604;BRA.5.416_1; 46.523 ;0,585;0,563;0,741;0,479;0,459;0,266;0,522;0,589; 0,184 ;;;;;
Palmas de Monte Alto/BA;BA;2923407;BRA.5.288_1; 21.796 ;0,586;0,561;0,777;0,462;0,459;0,414;0,476;0,488; 0,188 ;;;;;
Ibicoara/BA;BA;2912202;BRA.5.150_1; 19.786 ;0,591;0,583;0,731;0,484;0,459;0,378;0,58;0,418; 0,210 ;;;;;
Cantagalo/MG;MG;3112059;BRA.13.132_1; 4.551 ;0,631;0,598;0,816;0,515;0,459;0,448;0,487;0,441; 0,373 ;;;;;
São Domingos/GO;GO;5219803;BRA.9.210_1; 13.103 ;0,597;0,576;0,83;0,445;0,459;0,349;0,54;0,487; 0,238 ;;;;;
João Lisboa/MA;MA;2105500;BRA.10.96_1; 23.740 ;0,641;0,585;0,785;0,573;0,458;0,484;0,442;0,448; 0,408 ;;;;;
Apuiarés/CE;CE;2300903;BRA.6.11_1; 14.672 ;0,618;0,536;0,741;0,593;0,458;0,328;0,519;0,527; 0,325 ;;;;;
Canindé/CE;CE;2302800;BRA.6.34_1; 77.244 ;0,612;0,571;0,765;0,526;0,458;0,284;0,534;0,556; 0,302 ;;;;;
Icapuí/CE;CE;2305357;BRA.6.75_1; 20.060 ;0,616;0,572;0,757;0,541;0,458;0,412;0,497;0,465; 0,318 ;;;;;
Campo Redondo/RN;RN;2402105;BRA.20.24_1; 11.291 ;0,626;0,554;0,758;0,584;0,458;0,332;0,473;0,568; 0,355 ;;;;;
Riachão/PB;PB;2512747;BRA.15.160_1; 3.619 ;0,574;0,515;0,763;0,481;0,458;0,263;0,619;0,493; 0,140 ;;;;;
Assunção/PB;PB;2501351;BRA.15.18_1; 4.029 ;0,609;0,601;0,738;0,51;0,458;0,393;0,493;0,487; 0,289 ;;;;;
Nossa Senhora das Dores/SE;SE;2804607;BRA.26.45_1; 26.795 ;0,6;0,579;0,749;0,497;0,458;0,261;0,585;0,527; 0,251 ;;;;;
São José do Jacuípe/BA;BA;2929370;BRA.5.361_1; 10.505 ;0,552;0,555;0,726;0,417;0,458;0,265;0,545;0,564; 0,068 ;;;;;
Paratinga/BA;BA;2923704;BRA.5.291_1; 32.141 ;0,59;0,519;0,774;0,51;0,458;0,24;0,479;0,654; 0,206 ;;;;;
Nova Canaã/BA;BA;2922706;BRA.5.275_1; 16.472 ;0,545;0,554;0,789;0,37;0,458;0,158;0,619;0,597; 0,051 ;;;;;
Esplanada/BA;BA;2910602;BRA.5.127_1; 37.578 ;0,589;0,589;0,74;0,469;0,458;0,266;0,541;0,568; 0,201 ;;;;;
Gonzaga/MG;MG;3127503;BRA.13.316_1; 6.171 ;0,606;0,558;0,774;0,516;0,458;0,292;0,491;0,592; 0,276 ;;;;;
Mathias Lobato/MG;MG;3171501;BRA.13.474_1; 3.179 ;0,612;0,596;0,795;0,483;0,458;0,267;0,542;0,565; 0,302 ;;;;;
Caracaraí/RR;RR;1400209;BRA.23.6_1; 22.283 ;0,624;0,601;0,78;0,518;0,457;0,308;0,609;0,455; 0,347 ;;;;;
Benevides/PA;PA;1501501;BRA.14.21_1; 63.768 ;0,665;0,623;0,798;0,592;0,457;0,559;0,4;0,411; 0,496 ;;;;;
Itapiratins/TO;TO;1710904;BRA.27.61_1; 3.795 ;0,601;0,611;0,796;0,446;0,457;0,309;0,471;0,591; 0,255 ;;;;;
São Miguel do Tapuio/PI;PI;2210409;BRA.18.201_1; 17.639 ;0,556;0,508;0,78;0,434;0,457;0,225;0,577;0,57; 0,078 ;;;;;
Passagem Franca do Piauí/PI;PI;2207751;BRA.18.151_1; 4.323 ;0,561;0,594;0,758;0,393;0,457;0,331;0,543;0,497; 0,092 ;;;;;
Itainópolis/PI;PI;2205003;BRA.18.97_1; 11.551 ;0,541;0,545;0,725;0,401;0,457;0,225;0,57;0,575; 0,043 ;;;;;
Jucás/CE;CE;2307403;BRA.6.100_1; 24.892 ;0,598;0,541;0,772;0,511;0,457;0,192;0,563;0,617; 0,242 ;;;;;
Camalaú/PB;PB;2503902;BRA.15.50_1; 6.031 ;0,567;0,549;0,77;0,431;0,457;0,241;0,542;0,587; 0,115 ;;;;;
Carnaubeira da Penha/PE;PE;2603926;BRA.17.43_1; 13.025 ;0,573;0,491;0,755;0,508;0,457;0,238;0,558;0,575; 0,137 ;;;;;
