city_name;UF;ibge_cod;GADM_GID_2;pop_2020;MHDI_tot;MHDI_long;MHDI_edu;MHDI_inc;SVI_tot;SVI_inf;SVI_hum;SVI_wrk;MHDI_quantiles;;MHDI quartiles;;SVI quartiles;
Satubinha/MA;MA;2111722;BRA.10.195_1; 14.096 ;0,493;0,45;0,72;0,369;0,697;0,722;0,785;0,584; 0,004 ;;;;;
Beruri/AM;AM;1300631;BRA.4.11_1; 20.093 ;0,506;0,512;0,731;0,346;0,696;0,735;0,744;0,61; 0,009 ;;;;;
Cururupu/MA;MA;2103703;BRA.10.64_1; 32.626 ;0,612;0,568;0,768;0,525;0,696;1;0,52;0,567; 0,302 ;;;;;
Coelho Neto/MA;MA;2103406;BRA.10.60_1; 49.621 ;0,564;0,544;0,728;0,454;0,696;0,835;0,668;0,586; 0,104 ;;;;;
Cachoeira Grande/MA;MA;2102374;BRA.10.43_1; 9.478 ;0,537;0,422;0,773;0,476;0,696;0,733;0,692;0,662; 0,038 ;;;;;
Turilândia/MA;MA;2112456;BRA.10.209_1; 25.868 ;0,536;0,495;0,774;0,402;0,695;0,842;0,6;0,643; 0,036 ;;;;;
Uiramutã/RR;RR;1400704;BRA.23.15_1; 10.789 ;0,453;0,439;0,766;0,276;0,694;0,677;0,744;0,661; -   ;;;;;
Garrafão do Norte/PA;PA;1503077;BRA.14.50_1; 26.111 ;0,526;0,54;0,763;0,353;0,694;0,843;0,681;0,559; 0,024 ;;;;;
São Paulo de Olivença/AM;AM;1303908;BRA.4.51_1; 40.073 ;0,521;0,471;0,78;0,386;0,693;0,841;0,59;0,648; 0,019 ;;;;;
Lagoa Grande do Maranhão/MA;MA;2105963;BRA.10.104_1; 11.464 ;0,502;0,48;0,731;0,36;0,693;0,747;0,708;0,623; 0,006 ;;;;;
Lago Verde/MA;MA;2105906;BRA.10.102_1; 16.314 ;0,557;0,508;0,731;0,466;0,69;0,758;0,662;0,651; 0,080 ;;;;;
Brejo de Areia/MA;MA;2102150;BRA.10.37_1; 9.014 ;0,519;0,507;0,677;0,408;0,688;0,708;0,687;0,668; 0,017 ;;;;;
Água Doce do Maranhão/MA;MA;2100154;BRA.10.3_1; 12.652 ;0,5;0,494;0,697;0,363;0,687;0,703;0,685;0,673; 0,005 ;;;;;
Cantanhede/MA;MA;2102705;BRA.10.48_1; 22.117 ;0,565;0,497;0,774;0,468;0,687;0,744;0,66;0,656; 0,108 ;;;;;
Normandia/RR;RR;1400407;BRA.23.10_1; 11.532 ;0,594;0,52;0,801;0,502;0,685;0,668;0,668;0,718; 0,225 ;;;;;
Quatipuru/PA;PA;1506112;BRA.14.100_1; 13.702 ;0,543;0,55;0,732;0,397;0,683;0,807;0,648;0,593; 0,049 ;;;;;
Benjamin Constant/AM;AM;1300607;BRA.4.10_1; 43.935 ;0,574;0,526;0,763;0,471;0,682;0,796;0,649;0,6; 0,140 ;;;;;
Maraã/AM;AM;1302801;BRA.4.38_1; 18.261 ;0,498;0,466;0,763;0,348;0,682;0,601;0,722;0,724; 0,005 ;;;;;
Governador Newton Bello/MA;MA;2104651;BRA.10.81_1; 10.151 ;0,521;0,509;0,718;0,387;0,682;0,652;0,745;0,648; 0,019 ;;;;;
Araioses/MA;MA;2100907;BRA.10.16_1; 46.771 ;0,521;0,497;0,709;0,402;0,682;0,726;0,674;0,646; 0,019 ;;;;;
